fips,county_name,rural_urban,total_target_chemicals,target_pest_per_sqmi,total_chemicals,total_pest_per_sqmi,top4_chems,top4pct,general_cancer_rate,brain_cancer_rate,colon_rectal_cancer_rate,nhl_rate,prostate_cancer_rate,breast_cancer_rate,kidney_renal_pelvis_cancer_rate,liz_percent_crop_jobs,number_of_hospitlas,hpsa_primary_care_status
29001,Adair,Rural,30910.3,54.5,67203,118.5,"GLYPHOSATE, METOLACHLOR-S, GLUFOSINATE, ATRAZINE",0.685,406.6,,49.8,17.8,79.2,103.4,17.0,0.029,1,Designated
29003,Andrew,Urban,112235.7,259.4,172628.5,399.0,"GLYPHOSATE, ATRAZINE, METOLACHLOR-S, ACETOCHLOR",0.732,471.9,,35.4,22.9,98.3,129.5,25.2,0.197,0,Designated
29005,Atchison,Rural,254053.8,464.2,382255.9,698.5,"GLYPHOSATE, ATRAZINE, METOLACHLOR-S, ACETOCHLOR",0.760,396.5,,,,,114.1,,0.305,1,
29007,Audrain,Rural,171411.2,247.6,295147.5,426.4,"GLYPHOSATE, ATRAZINE, METOLACHLOR-S, GLUFOSINATE",0.747,458.4,,45,20.5,111.7,108.8,18.8,0.138,0,
29009,Barry,Rural,9117.5,11.7,32068.7,41.2,"2,4-D, GLYPHOSATE, TRICLOPYR, ATRAZINE",0.735,441.4,8.5,46,14.1,106.6,112.2,15.5,0.007,2,
29011,Barton,Rural,112223.1,189.6,170173.4,287.4,"GLYPHOSATE, ATRAZINE, METOLACHLOR-S, DICAMBA",0.704,455.3,,48.8,23.6,108.2,136.0,20.4,0.103,1,
29013,Bates,Urban,151556,181.1,232044.6,277.3,"GLYPHOSATE, ATRAZINE, ACETOCHLOR, GLUFOSINATE",0.703,405.7,,45,20.8,61.2,107.9,,0.114,1,
29015,Benton,Rural,18903.4,26.9,33880.5,48.1,"GLYPHOSATE, ATRAZINE, METOLACHLOR-S, GLUFOSINATE",0.724,450.9,,39.5,16.2,77.8,99.8,10.9,0.038,0,
29017,Bollinger,Urban,15567.4,25.2,33785.7,54.7,"GLYPHOSATE, 2,4-D, ATRAZINE, GLUFOSINATE",0.800,500,,49.6,27.5,101.2,133.0,,0.076,0,
29019,Boone,Urban,41617.9,60.7,76499.9,111.6,"GLYPHOSATE, ATRAZINE, METOLACHLOR-S, GLUFOSINATE",0.757,448.5,6.6,33.3,17.7,95.8,149.2,19.5,0.014,6,
29021,Buchanan,Urban,105437.5,258.3,163235,399.8,"GLYPHOSATE, ATRAZINE, METOLACHLOR-S, ACETOCHLOR",0.729,478.8,7.9,46.2,20.9,101.9,104.4,22.7,0.047,3,
